Plot ,Image,Treatment (A vs B),Bare,Live,Old litter,Dead,Notes
773,3210,B ,30,30,10,30,
775,3211,A,77,20,0,3,
775,3211,B ,35,25,10,30,
777,3212,A,77,20,0,3,
777,3212,B ,30,40,10,20,
779,3213,A,80,15,0,5,
779,3213,B ,45,30,5,20,
781,3214,A,85,5,0,10,
781,3214,B ,20,30,10,40,
783,3215,A,90,5,0,5,
783,3215,B ,35,15,10,40,
785,3216,A,80,15,0,5,
785,3216,B ,25,30,10,35,
787,3217,A,75,20,0,5,
787,3217,B ,25,35,10,30,
789,3218,A,77,20,0,3,
789,3218,B ,20,35,10,35,
791,3219,A,86,12,0,2,
791,3219,B ,30,35,5,30,
793,3220,A,82,25,0,3,
793,3220,B ,20,35,10,35,
795,3221,A,57,40,0,3,
795,3221,B ,30,30,10,30,
797,3222,A,55,30,0,15,
797,3222,B ,15,35,10,40,
799,3223,A,80,10,0,10,
799,3223,B ,30,35,10,25,
851,3224,A,77,20,0,3,
851,3224,B ,15,40,10,35,
853,3225,A,50,45,0,5,
853,3225,B ,5,50,10,35,
855,3226,A,53,44,0,3,
855,3226,B,10,40,10,40,Biotic tags hard to see
857,3227,A,50,35,0,15,
857,3227,B,20,40,10,30,
859,3228,A,30,50,0,20,
859,3228,B,20,50,10,20,
861,3229,A,50,50,0,10,
861,3229,B ,10,65,10,15,
863,3230,A,35,60,0,5,
863,3230,B ,10,60,15,15,
865,3231,A,15,70,0,15,
865,3231,B ,15,65,10,10,
867,3232,A,35,60,0,5,
867,3232,B ,15,60,10,15,
869,3233,A,40,45,0,5,
869,3233,B ,15,50,10,25,
871,3234,A,60,37,0,3,
871,3234,B ,10,40,10,40,
873,3235,A,20,70,0,10,
873,3235,B ,30,30,10,30,
875,3236,A,25,70,0,5,
875,3236,B ,30,40,10,20,
877,3237,A,55,40,0,5,
877,3237,B ,35,40,10,15,
879,3238,A,40,55,0,5,
879,3238,B ,10,60,10,20,
881,3239,A,95,2,0,3,
881,3239,B ,60,15,5,20,
883,3240,A,50,45,0,5,
883,3240,B ,40,55,0,5,
885,3241,A,30,65,0,5,
885,3241,B ,20,65,5,10,
887,3246,A,20,75,0,5,
887,3246,B ,30,55,5,10,
889,3247,A,15,80,0,5,
889,3247,B ,15,60,10,15,
891,3248,A,20,75,0,5,
891,3248,B ,20,60,10,10,
893,3249,A,15,75,0,10,
893,3249,B ,30,15,5,50,
899,3250,A,92,5,0,3,
899,3250,B ,75,10,1,14,
801,3251,A,67,30,0,3,
801,3251,B ,15,60,10,15,
803,3252,A,71,25,0,4,
803,3252,B ,10,70,5,15,
805,3253,A,76,20,0,5,
805,3253,B ,15,68,2,5,
807,3254,A,89,8,0,3,
807,3254,B,15,77,3,5,
809,3255,A,82,15,0,3,
809,3255,B,5,70,10,15,
811,3256,A,82,15,0,3,
811,3256,B,8,70,5,17,
813,3257,A,55,35,0,10,
813,3257,B ,20,45,10,25,
815,3258,A,55,35,0,10,
815,3258,B ,20,40,10,30,
817,3259,A,75,15,0,10,
817,3259,B ,10,55,15,20,
819,3260,A,60,30,0,10,
819,3260,B ,15,60,5,20,
821,3261,A,50,40,0,10,
821,3261,B ,25,45,5,25,Labled 821 twice
821,3262,A,65,30,0,5,Labled 821 twice
821,3262,B ,15,55,15,15,
823,3263,A,70,25,0,5,
823,3263,B ,15,70,5,10,
825,3264,A,75,20,0,5,
825,3264,B ,20,50,10,20,
827,3265,A,87,10,0,3,
827,3265,B ,10,40,15,35,
829,3266,A,82,15,0,3,
829,3266,B ,10,45,5,40,
831,3267,A,75,20,0,5,
831,3267,B ,10,70,5,15,
833,3268,A,88,9,0,3,
833,3268,B ,15,50,10,25,
835,3269,A,60,35,0,5,
835,3269,B ,20,40,10,30,
837,3270,A,47,50,0,3,
837,3270,B ,10,45,10,35,
839,3271,A,80,15,0,5,
839,3271,B ,20,35,10,35,
841,3272,A,82,15,0,3,
841,3272,B ,10,45,10,35,
843,3274,A,80,15,0,5,
843,3274,B ,10,65,10,15,
845,3275,A,82,8,0,10,
845,3275,B ,10,50,10,30,
847,3276,A,85,10,0,5,
847,3276,B ,20,40,15,25,
849,3277,A,72,23,0,5,
849,3277,B ,15,55,10,20,
751,3278,A,20,70,0,10,
751,3278,B ,15,70,10,5,
753,3279,A,40,50,0,10,
753,3279,B ,15,60,15,10,
755,3281,A,15,80,0,5,Hard to find tags
755,3281,B ,10,75,10,5,Hard to find tags
757,3282,A,15,80,0,5,
757,3282,B,10,80,5,5,
759,3283,A,25,70,0,5,
759,3283,B,15,70,10,5,
761,3284,A,30,65,0,5,
761,3284,B,15,65,15,5,
763,3285,A,50,45,0,5,
763,3285,B ,15,70,5,10,
765,3287,A,10,80,0,10,
765,3287,B ,10,65,10,15,
767,3288,A,95,5,0,0,
767,3288,B ,20,60,10,10,
769,3289,A,70,20,0,10,
769,3289,B ,15,80,0,5,
771,3290,A,10,80,0,10,
771,3290,B ,10,75,10,5,
773,3291,A,75,20,0,5,
773,3291,B ,20,65,10,5,
775,3292,A,40,50,0,10,
775,3292,B ,15,60,15,10,
777,3293,A,55,40,0,5,
777,3293,B ,15,60,15,10,
779,3294,A,35,60,0,5,
779,3294,B ,30,50,10,10,
781,3295,A,35,60,0,5,
781,3295,B ,15,55,20,10,
783,3296,A,22,75,0,3,
783,3296,B ,70,23,2,5,
785,3297,A,35,60,0,5,
785,3297,B ,10,55,20,15,
787,3298,A,82,15,0,3,
787,3298,B ,10,55,25,10,
789,3299,A,60,35,0,5,
789,3299,B ,10,60,20,10,
791,3300,A,70,25,0,5,
791,3300,B ,20,60,10,10,
793,3301,A,60,35,0,5,
793,3301,B ,15,60,10,15,
795,3302,A,50,45,0,5,
795,3302,B ,5,65,15,15,
797,3303,A,50,45,0,5,
797,3303,B ,20,45,20,15,
799,3305,A,20,77,0,3,
799,3305,B ,5,55,10,30,
601,3306,A,80,15,0,5,
601,3306,B ,15,35,15,35,
603,3307,A,92,5,0,3,
603,3307,B ,93,4,0,3,
605,3308,A,80,15,0,5,
605,3308,B,15,50,15,20,
607,3309,A,80,15,0,5,
607,3309,B,25,25,20,30,
609,3310,A,85,12,0,3,
609,3310,B,5,50,10,35,
611,3311,A,82,15,0,3,
611,3311,B ,20,20,10,50,
613,3312,A,95,3,0,2,
613,3312,B ,20,20,20,40,
615,3313,A,92,5,0,3,
615,3313,B ,25,40,10,25,
617,3314,A,87,10,0,3,
617,3314,B ,10,20,10,60,
619,3315,A,87,10,0,3,
619,3315,B ,15,30,10,45,
621,3316,A,95,2,0,3,
621,3316,B ,15,30,10,45,
623,3317,A,95,3,0,2,
623,3317,B ,10,30,10,50,
625,3318,A,70,25,0,5,
625,3318,B ,5,45,10,40,
627,3319,A,93,5,0,2,
627,3319,B ,35,15,10,40,
629,3220,A,67,30,0,3,
629,3220,B ,15,20,10,55,
631,3221,A,95,3,0,2,
631,3221,B ,10,45,10,35,
633,3322,A,80,15,0,5,
633,3322,B ,30,30,10,30,
635,3323,A,75,15,0,10,
635,3323,B ,5,40,10,45,
637,3324,A,92,5,0,3,
637,3324,B ,5,35,10,50,
639,3225,A,87,10,0,3,
639,3225,B ,5,50,10,35,
641,3326,A,90,8,0,2,
641,3326,B ,25,20,10,45,
643,3327,A,95,3,0,2,
643,3327,B ,5,45,10,40,
645,3328,A,88,10,0,2,
645,3328,B ,10,40,10,40,
647,3329,A,77,20,0,3,
647,3329,B ,20,40,10,30,
649,3330,A,95,3,0,2,
649,3330,B ,60,20,5,15,
651,3332,A,55,0,40,5,
651,3332,B ,70,15,3,12,
653,3333,A,72,25,0,3,
653,3333,B ,15,30,10,45,
655,3337,A,75,22,0,3,
655,3337,B ,15,40,10,35,
657,3338,A,62,35,0,3,
657,3338,B,40,15,5,40,
659,3339,A,75,20,0,5,
659,3339,B,15,45,10,30,
661,3340,A,67,30,0,3,
661,3340,B,20,35,10,35,
