image,plot,grid,site,treatment,miccal,brohor,vulmic,plaere,notes
3221,795,16,LM,B,1,0,1,2,
3221,795,16,LM,A,1,0,1,1,
3222,797,16,LM,B,2,0,0,0,
3222,797,16,LM,A,0,0,0,0,
3223,799,16,LM,B,1,0,1,0,
3223,799,16,LM,A,0,0,0,1,
3194,843,17,LM,B,0,0,0,0,
3194,843,17,LM,A,0,0,0,0,
3195,845,17,LM,B,0,0,0,0,
3195,845,17,LM,A,0,0,1,0,
3170,801,17,LM,B,1,0,1,0,
3170,801,17,LM,A,0,0,1,0,
3171,803,17,LM,B,0,0,1,0,
3171,803,17,LM,A,1,0,1,0,
3172,805,17,LM,B,1,0,1,0,
3172,805,17,LM,A,1,0,0,0,
3173,807,17,LM,B,1,0,1,0,
3173,807,17,LM,A,1,0,1,0,
3174,809,17,LM,B,1,0,1,0,
3174,809,17,LM,A,1,0,1,0,
3175,811,17,LM,B,1,0,0,0,
3175,811,17,LM,A,1,0,0,0,
3176,813,17,LM,B,1,0,1,0,
3176,813,17,LM,A,0,0,1,0,
3177,815,17,LM,B,1,0,1,1,
3177,815,17,LM,A,1,0,0,1,
3178,817,17,LM,B,1,0,0,0,
3178,817,17,LM,A,1,0,0,0,
3181,819,17,LM,B,0,0,0,0,
3181,819,17,LM,A,0,0,0,0,
3182,821,17,LM,B,0,0,0,0,
3182,821,17,LM,A,1,0,0,0,
3183,823,17,LM,B,1,0,0,0,
3183,823,17,LM,A,1,0,0,0,
3184,825,17,LM,B,0,0,1,0,
3184,825,17,LM,A,0,0,1,0,
3186,827,17,LM,B,1,0,0,0,
3186,827,17,LM,A,0,0,1,0,
3187,829,17,LM,B,1,0,0,0,
3187,829,17,LM,A,0,0,0,0,
3188,831,17,LM,B,1,0,0,0,
3188,831,17,LM,A,1,0,1,0,
3189,833,17,LM,B,1,0,0,0,
3189,833,17,LM,A,0,0,0,0,
3190,835,17,LM,B,1,0,0,0,
3190,835,17,LM,A,0,0,0,0,
3191,837,17,LM,B,1,0,0,0,
3191,837,17,LM,A,1,0,0,0,
3192,839,17,LM,B,0,1,0,0,
3192,839,17,LM,A,0,1,0,0,
3193,841,17,LM,B,0,0,1,0,
3193,841,17,LM,A,1,0,0,0,
3196,847,17,LM,B,0,0,0,0,
3196,847,17,LM,A,0,0,0,0,
3197,849,17,LM,B,1,0,0,0,
3197,849,17,LM,A,1,0,0,0,
3142,851,19,LM,B,0,0,3,1,
3142,851,19,LM,A,0,0,2,1,
3143,853,19,LM,B,1,0,2,0,
3143,853,19,LM,A,0,0,1,1,
3144,855,19,LM,B,0,0,2,1,
3144,855,19,LM,A,0,0,1,1,
3146,857,19,LM,B,1,0,1,1,
3146,857,19,LM,A,0,1,2,1,
3147,859,19,LM,B,1,0,1,1,
3147,859,19,LM,A,0,0,0,1,
3148,861,19,LM,B,2,0,0,2,
3148,861,19,LM,A,0,0,1,1,
3149,863,19,LM,B,1,1,0,1,
3149,863,19,LM,A,0,0,0,1,
3150,865,19,LM,B,1,0,1,1,
3150,865,19,LM,A,0,0,0,1,
3151,867,19,LM,B,0,1,1,1,
3151,867,19,LM,A,0,1,1,1,
3152,869,19,LM,B,1,0,2,1,
3152,869,19,LM,A,0,0,1,1,
3153,871,19,LM,B,1,0,2,0,
3153,871,19,LM,A,1,0,1,1,
3154,873,19,LM,B,1,0,1,1,
3154,873,19,LM,A,0,0,2,1,
3155,875,19,LM,B,1,0,1,1,
3155,875,19,LM,A,0,1,1,1,
3156,877,19,LM,B,1,1,1,1,
3156,877,19,LM,A,0,1,1,1,
3157,879,19,LM,B,2,0,1,1,
3157,879,19,LM,A,0,0,1,1,
3158,881,19,LM,B,1,0,2,1,
3158,881,19,LM,A,0,0,1,1,
3159,883,19,LM,B,1,0,1,1,
3159,883,19,LM,A,0,0,1,1,
3162,885,19,LM,B,1,0,1,1,
3162,885,19,LM,A,0,0,0,1,
3163,887,19,LM,B,0,0,1,1,
3163,887,19,LM,A,0,0,0,1,
3164,889,19,LM,B,1,0,1,1,
3164,889,19,LM,A,0,0,1,2,
3165,891,19,LM,B,1,0,2,1,
3165,891,19,LM,A,0,0,2,1,
3166,893,19,LM,B,2,0,2,1,
3166,893,19,LM,A,0,0,1,1,
3167,897,19,LM,B,0,0,1,0,
3167,897,19,LM,A,0,0,1,0,
3168,899,19,LM,B,1,0,1,1,
3168,899,19,LM,A,0,0,1,1,
3251,801,21,KNOX,B,1,0,0,1,
3251,801,21,KNOX,A,1,0,1,0,
3252,803,21,KNOX,B,0,1,0,0,
3252,803,21,KNOX,A,1,1,1,1,
3253,805,21,KNOX,B,0,2,1,0,
3253,805,21,KNOX,A,0,1,1,1,
3254,807,21,KNOX,B,1,0,0,1,
3254,807,21,KNOX,A,0,1,1,1,
3255,809,21,KNOX,B,0,0,1,1,
3255,809,21,KNOX,A,0,0,1,1,
3256,811,21,KNOX,B,0,0,0,0,
3256,811,21,KNOX,A,0,0,0,0,
3257,813,21,KNOX,B,1,1,0,0,
3257,813,21,KNOX,A,1,1,1,0,
3258,815,21,KNOX,B,0,2,0,1,
3258,815,21,KNOX,A,1,1,1,1,
3259,817,21,KNOX,B,0,2,0,1,
3259,817,21,KNOX,A,0,2,0,1,
3260,819,21,KNOX,B,0,2,0,1,
3260,819,21,KNOX,A,1,1,0,1,
3261,821,21,KNOX,B,0,2,0,0,
3261,821,21,KNOX,A,0,1,1,1,
3263,823,21,KNOX,B,0,1,0,0,
3263,823,21,KNOX,A,0,1,0,1,
